FILE: ./AI-Agent-Onboarding-Protocol/archive/AI_AGENT_ONBOARDING.txt.ots | HASH: 44ec603744fed553c4de61091e930bbab1ebf92ebc8fc9e23b48ea028141aeac | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/boundary_anchor_20260207.sh.ots | HASH: 42d8c839a63670e6d622697e7ad5929ebcb49b0482da54dc4a7cfbb6a2cc5b54 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/dei_res_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/dei_res_20260207.sh.ots | HASH: afe344d4667423b93c28b75555b436b005937f9bc68ce499779806c318249a5e | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/deploy_20260207_132550.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/deploy_20260207_132550.sh.ots | HASH: 08dd551caf098e1a90848e0276899aaea90047b564402ff1e802fabfb6d76f36 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/deploy_aiq_v2_source.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/ed_demand_20260207_144003.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/ed_demand_20260207_144003.sh.ots | HASH: 4a7916c84564e511ced1dab3c6a6e51806fe4d7f7fba84da69252e685bada147 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/edstrate_deploy_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/edstrate_deploy_20260207.sh.ots | HASH: 0e8b45fa7a0ef2438850cb789e2a29bcdd01678483ee9d870e14372149f08bb3 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/famc_gen_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/famc_gen_20260207.sh.ots | HASH: c5426012582094dba585227296097d12912f2cb5e1a65f68099381e6cccccc80 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/forge_20260207_134202.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/forge_20260207_134202.sh.ots | HASH: 1462cdc4dedcfe4d48f41aac25d1f1c705527788fcc67f0c2f5e65fa049df194 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/forge_20260207_134526.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/frictionless_deploy_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/frictionless_deploy_20260207.sh.ots | HASH: 3c12e7ae04975de1bece40d0f9ef0c9ca89e34141c8685b0a98c03b1b88ad39c | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/gaslight_def_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/gaslight_def_20260207.sh.ots | HASH: 5de393ac2f256ce05b6fc0472d2d553c0e5debc0ff837afad72158a90e23b86a | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/harvester_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/harvester_20260207.sh.ots | HASH: f5b1dfb9f3116112a1250025cf39c80766f62c4f71cf06ffdd9fabfde1b7220a | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/integrity_link_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/integrity_link_20260207.sh.ots | HASH: 40f6b11b5edb5f0dac0129cfc1a5978125d2ec64e8e75362b0daf8ce9322b445 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/integrity_mandate_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/integrity_mandate_20260207.sh.ots | HASH: 727d9f02c1a2ed30572d85903c0b8e3bbfa5b937578f75fccc005704fefcf09f | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/mediator_anchor_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/mediator_anchor_20260207.sh.ots | HASH: 59a287fa0b753cc1e9391c089b0ccf3b6e7d305694d4cc47c9a5c8de0e18a66c | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/razor_deploy_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/razor_deploy_20260207.sh.ots | HASH: 7d349a77a661fe3da70448ad04595d72aac6e4a0f78bc01af377327620e22d15 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/reformation_anchor_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/reformation_anchor_20260207.sh.ots | HASH: 600862bcb23e39dc21894fee91a1b9b4aa6e8e384b2817a013b828b71e179866 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/rotator_gen_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/rotator_gen_20260207.sh.ots | HASH: 137010a83a6e4190562cc470b23849b6e27decb266c2cf5a944869aa1dd0c0c5 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/shield_gen_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/shield_gen_20260207.sh.ots | HASH: eb4fdf5d8461612213a69d13d7153fd4428a80e03e6912b38971e8d52b51e5ff | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/sil_sync_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/sil_sync_20260207.sh.ots | HASH: 070784c84cf09764e70a1509ca2a6c19cbe4bdafb55a86807c270cd24285b3af | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/sva_bootstrap_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/sva_bootstrap_20260207.sh.ots | HASH: 10fcd564eef3a8d40eb177393a01c124e8b84f911c0804408bcfe80c9bcb7161 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/sync_20260207_131717.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/systemic_res_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/systemic_res_20260207.sh.ots | HASH: b2900f1b2fd482151e3cc4982d2e1076b8431065a628968c045a90bb89cba7a4 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/theorem_anchor_20260207.sh | HASH: 6ada6234a0ed11effa9fc4f38eac2f2e996f782176d2eb7031d5c4426424c667 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/R&D/Source Mirrors/theorem_anchor_20260207.sh.ots | HASH: d83e9577cdd6b3cc28f2fa02bdf6b9d78361be823977e260fe67e2c2fe11d63b | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Skill Ledger/1st Edition Skill Ledger Packet/Architects_AIQ_1st_Edition.md | HASH: 124dc774c2575577652fd91a679d4731c198d4d0dcee3f82fc7f0821a6969743 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Skill Ledger/1st Edition Skill Ledger Packet/Architects_AIQ_1st_Edition.md.ots | HASH: 1832e4c6ce9e3595d18ddf429ae76f1b1ea3bc4e3ce19fa21cfc8280a7a22a26 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Skill Ledger/1st Edition Skill Ledger Packet/Skill_Ledger_1st_Edition_AIQ_Template.md | HASH: 9f43938a34440b89189efa0fd68d1fbdade310cfd23678ec62eb8e7a22b71c44 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Skill Ledger/1st Edition Skill Ledger Packet/Skill_Ledger_1st_Edition_AIQ_Template.md.ots | HASH: a8b7cfc4a0fbe63a5976a6bfb1d88fee245d9e26ca76dffde0c78e7cfd379cb5 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Skill_Ledger/Active_Attestations/Mastery_Bio-Ethics.md | HASH: 1d77d690bc1f773aeba2e543848406adae87da630bfeba465e93a057f68800a3 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Skill_Ledger/Active_Attestations/Mastery_Bio-Ethics.md.ots | HASH: bcef843b4a9aea75663e0a7f6358b215439efaee055016bd9489eb97ad266524 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Skill_Ledger/Snapshots/Forensic_Resume_20260207.md | HASH: 84c309c26612e082d0ab2375a1e40169ce6ce134d27462368d518eb28e012dd9 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Skill_Ledger/Snapshots/Forensic_Resume_20260207.md.ots | HASH: 754e4956db5c2e1883908099b1012329f12cf48071c0c8af277219c3c34687e3 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Skill_Ledger_1st_Edition_AIQ_Template.md | HASH: 282054a87682b0bb57e33b0ac8380ab945b2551477dc8d779f0dbf47369925bb | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Anomalies/MedStrate_Anomaly_001.md | HASH: 75fdc5848816d8d94c03fbb1b320803e5ae7cba6493e02239d31cda2b4a4304d | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Anomalies/MedStrate_Anomaly_001.md.ots | HASH: 900348de5c660e4297f39acb2b00e462755583f965c745a186fce9b208481882 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Core/Philostrate_Possibility_Analyzer.md | HASH: 8c72ee57ade0ec1ddf1ca0805e10679acd99071baaa6fcf29a9bd945ecbcdd8b | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Core/Philostrate_Possibility_Analyzer.md.ots | HASH: f7b0bf4133a81ccc4b16ab3b4f99ad5dfe1b21b4a4e74cc3eef2e7aba4f71a8b | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Dependency_Map.md | HASH: 4774dd22c7ccdb90eae37b84e1a465c6cb13f9d0b401aa968459e867af6be530 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Dependency_Map.md.ots | HASH: ac516bb5261b19b966572c43cc799cffbfd0c63dfb4f1e22083a889e68d516c4 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Deployment/Public_Institutional/Institutional_Onboarding_Protocol.md | HASH: b0e0195c3d1555102f7fe23a1f7c20d43eaf273f42807ac10e723c2ac18734d7 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Deployment/Public_Institutional/Institutional_Onboarding_Protocol.md.ots | HASH: 6b144da9055d0c856d18a990116b85e0b807a7d80b4f7aa15181f3571553d650 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/EdStrate/Intro_to_9-Sigma_Architecture/Course_Syllabus.md | HASH: dbd5550b86cd120df2242583c8c5b9c7dcc364ffcb47262db49f7fc8186a3404 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/EdStrate/Intro_to_9-Sigma_Architecture/Course_Syllabus.md.ots | HASH: 026100f1418f1534cc37776cfe3fb4c2c89a218d7411b0b927b62cabe716e0e5 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/EdStrate/Intro_to_9-Sigma_Architecture/Mastery_Attestation_Template.md | HASH: e2ae7e5b7bb65b088c23addb415bba872ee84c56a6ab4802e5345b1edef71ffd | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/EdStrate/Intro_to_9-Sigma_Architecture/Mastery_Attestation_Template.md.ots | HASH: f6ebe9dd4f9081f143b0e137462fd29b3bac94f7e28b7acf450a14dfebc121ec | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/EdStrate.md | HASH: dcae90fe95e4fbae968606d337bfac272b3d93ea01ae7cd063dd9578d6bd65ca | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/EdStrate.md.ots | HASH: c66e318c51ddfb9031cd828f0f8ba9fea2a470bca5d07ff6ccae0df0656d9fa1 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/FinStrate.md | HASH: 465c52fe3a7c931a9f562450eaa3a8e5b8beb4580a5955b2e590ec1c0ff5321b | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/FinStrate.md.ots | HASH: 6181c5875e7a7595f4f9ff2dfbd81a98ff0537979579cec079fee05a63c65cc8 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/Genesis_1st_Edition.md | HASH: ada8d5be6f87d9b57df759314a2ad04f14109a8d505f3a18453a4fff746968bf | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/Genesis_1st_Edition.md.ots | HASH: 4aeee8d97fffd652b4bb5adef0eb5fee30e280c04e28582a4dd0dd52b918c166 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/HOG.md | HASH: 7ec6d3d066fdadfad83fcaa3f3d30e0068afa73aea26d47410b4c924e4a10bb6 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/Legistrate.md | HASH: 4042431a352e7a95a254266f286cc7b919e5ea31f96d8777def9c95d455b84be | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/LogiStrate.md | HASH: 0fa44474ce854d04ed1e24d370fb59fc298e5c0ddcd3698ef5a5e4141e2bbd4e | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/MedStrate.md | HASH: b77a9f9e54fbb2330fc2027eacdb95bdd0270fd4108462fb0fe76b0525dd192b | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/Philostrate.md | HASH: 2966b0d777e3c925757c0bc6295fa783697d14166540843da2b4c53eea87f4ee | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/Philostrate.md.ots | HASH: 7040f565376c97a01e68e06cb6656439106384635608f0aba2efcd83cf1f5f72 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/RepStrate.md | HASH: ffed7a21dcd421cd9d8bc3d891102226bead2b5d403fd227f9a5f0c8ba5120c2 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/Solescence.md | HASH: 704504cddb3bc9fe51921ffdcaaa9ab20d2301308ece3617b7765fa9d5c16ed6 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Glossary/Solescence.md.ots | HASH: 30616aa33414619bea002df9aeffc17bd830f46f2084e16275d5406ee534ab28 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Alignment/Institutional_Alignment_Function.md | HASH: a10bbcc38db7a9ba787d03fa0bde5695ad39991e23d99f9bb4524cb3d4eb236e | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Alignment/Institutional_Alignment_Function.md.ots | HASH: c085cc5615ba8b332665313cfe3559ffd1db6046d09566bb6db4af9c431e54fe | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Legal_Foundations/Institutional_Integrity_Mandate.md | HASH: a76bc3ed3352ed1804283defbe19204c78697198f0a15dfdf4c7dea91de4d916 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Legal_Foundations/Institutional_Integrity_Mandate.md.ots | HASH: 546b073f9a508b8b983bfabc9e87c9bd44997f2fe17f410ada2faa5bc778a7ae | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Resilience/The_Resilience_of_Logos.md | HASH: bdcf1440e3227378b20507904e6d21853cc5d89044b6701ced79a3d8519c8dd4 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Resilience/The_Resilience_of_Logos.md.ots | HASH: 818bdc075221a767489c6e85aaa6983f65a3302904f523656c02d8cd1ce9bce6 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Security/Gaslight_Defense_Protocol.md | HASH: e8cff510f9e9656967d9f3e401cbe005dfe45c95135c8ae33aefe711076fd7d5 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Security/Gaslight_Defense_Protocol.md.ots | HASH: 31ed5f2d91612515a2bc33d6def1a9b350c56e23e3a681ebf0b72ccd1074e330 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Social_Logic/The_DEI_Obsolescence_Framework.md | HASH: c0814287e70225497fb015e1d617ffa1fe7c777d5572941b22c3fa3c22e33c05 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Social_Logic/The_DEI_Obsolescence_Framework.md.ots | HASH: f932a2b959fc81f3cc7d0153e0d792357cbc7fc0ee12d0eb57192976d12b7ba1 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Sovereign_Neutrality/The_Logic_Gate_Mediator.md | HASH: fbd135ae05614c1b9ab78cb920643d879cff1566cba0ca2b7f275024dba318d8 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Governance/Sovereign_Neutrality/The_Logic_Gate_Mediator.md.ots | HASH: 2e964885918ef8ca9d2a68b3366136662d30855e421ea01665b6fd804e527989 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/R&D/Latent_Intelligence/20260207_Latent_Intel.md | HASH: 83db67d264ccbb3a422bbfcaf016f69ece7c2deee99a09ee28ed4d1a2fc97815 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/R&D/Latent_Intelligence/20260207_Latent_Intel.md.ots | HASH: cf020b6a5564775f9ad5184faa2d06380e25ecc864f091c0785c749b83708339 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Registry/EdStrate/EdStrate.md | HASH: 6af6b37854cc7b8c16033b74e86f91625e1d1db281c4b3ee69095acad3481760 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Registry/EdStrate/EdStrate.md.ots | HASH: 13ce0d1a492b6321b85ad97be21091fe0891aecbefe9681bdfc2e217d5ce58b7 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Registry/FinStrate/Sovereign_Asset_Mgmt.md | HASH: bdaae2f9c136a7b66583e6bceec9d91208c885f58fbad2a33fcde38fee631ab1 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Registry/FinStrate/Sovereign_Asset_Mgmt.md.ots | HASH: 461c909e62f2e9dc2d9d8d60d1797f2b7989510441fdaf31d6cc51de33746558 | ANCHOR: 933268
FILE: ./Skill Ledger/1st Edition Skill Ledger Packet/Substrate/Registry/HOG/Gaslight_Defense.md | HASH: d01b57e5d38cd32b9fcb7e97df8f442e2112b835139914ef74b5402a60aecae4 | ANCHOR: 933268
